,ip,date,time,cik,accession,extention
158,38.105.116.iei,2017-06-30,00:00:00,814008.0,0000943763-97-000032,.txt
159,38.105.116.iei,2017-06-30,00:00:00,910659.0,0000930661-97-001326,.txt
160,38.140.198.dgd,2017-06-30,00:00:00,1112920.0,0001185185-17-001473,-index.htm
161,38.140.198.dgd,2017-06-30,00:00:00,1517022.0,0001193125-17-218379,d404244d8k.htm
162,38.140.198.dgd,2017-06-30,00:00:00,1517022.0,0001193125-17-218379,d404244d8k.htm
163,38.140.198.dgd,2017-06-30,00:00:00,1112920.0,0001185185-17-001473,-index.htm
164,45.32.128.fbb,2017-06-30,00:00:00,1627793.0,0001627793-14-000001,primary_doc.xml
165,45.32.128.fbb,2017-06-30,00:00:00,1627793.0,0001627793-14-000001,-index.htm
166,45.32.128.fbb,2017-06-30,00:00:00,1627793.0,0001627793-14-000001,.hdr.sgml
167,5.9.94.eaj,2017-06-30,00:00:00,1002225.0,0001104659-15-046802,a15-14544_18k.htm
168,50.87.249.ede,2017-06-30,00:00:00,1094139.0,0001144204-12-058439,-index.htm
169,52.90.157.idh,2017-06-30,00:00:00,1517022.0,9999999997-17-007323,.txt
170,54.158.86.dci,2017-06-30,00:00:00,1344980.0,0001179110-17-007580,-index.htm
171,54.162.220.aah,2017-06-30,00:00:00,1487920.0,0001214659-14-001368,usfc-20131231_lab.xml
172,54.162.220.aah,2017-06-30,00:00:00,924642.0,0000950138-99-000162,.txt
173,54.162.220.aah,2017-06-30,00:00:00,1487920.0,0001214659-14-001368,usfc-20131231_def.xml
174,54.162.220.aah,2017-06-30,00:00:00,1487920.0,0001214659-14-001368,usfc-20131231_cal.xml
175,54.162.220.aah,2017-06-30,00:00:00,924642.0,0000950138-99-000162,-index.html
176,54.173.181.ghf,2017-06-30,00:00:00,1072379.0,0001144204-17-034437,-index.htm
177,54.173.181.ghf,2017-06-30,00:00:00,278130.0,0001157523-17-001886,-index.htm
178,54.173.181.ghf,2017-06-30,00:00:00,1021860.0,0001193125-17-215536,-index.htm
179,54.175.208.fdh,2017-06-30,00:00:00,1039684.0,0001039684-17-000081,-index.htm
180,54.175.208.fdh,2017-06-30,00:00:00,1014739.0,0001144204-17-034758,-index.htm
181,54.175.208.fdh,2017-06-30,00:00:00,1679049.0,0001679049-17-000013,-index.htm
182,54.175.208.fdh,2017-06-30,00:00:00,724571.0,0001157523-17-001892,-index.htm
183,54.175.208.fdh,2017-06-30,00:00:00,1562039.0,0001562039-17-000022,-index.htm
184,54.212.94.jcd,2017-06-30,00:00:00,1503584.0,0000000000-13-003580,-index.htm
185,54.212.94.jcd,2017-06-30,00:00:00,1503584.0,0001317861-13-000008,-index.htm
186,54.212.94.jcd,2017-06-30,00:00:00,1503584.0,0000000000-13-003580,-index.htm
187,54.212.94.jcd,2017-06-30,00:00:00,1503584.0,0000000000-13-003580,-index.htm
188,54.212.94.jcd,2017-06-30,00:00:00,1503584.0,0001317861-13-000008,-index.htm
189,54.212.94.jcd,2017-06-30,00:00:00,1503584.0,0001317861-13-000008,-index.htm
190,54.67.64.eij,2017-06-30,00:00:00,1677100.0,0001677100-17-000001,primary_doc.xml
191,54.67.64.eij,2017-06-30,00:00:00,1677100.0,0001677100-17-000001,primary_doc.xml
192,62.65.39.jcf,2017-06-30,00:00:00,1470766.0,0000950123-16-022486,-index.htm
193,62.65.39.jcf,2017-06-30,00:00:00,1470766.0,0000950123-16-022486,-index.htm
194,66.249.66.aag,2017-06-30,00:00:00,778206.0,0001398344-11-002051,fp0003424_npx.txt
195,66.249.66.chj,2017-06-30,00:00:00,1688667.0,0001493152-16-014777,-index.htm
196,66.249.66.jjh,2017-06-30,00:00:00,315066.0,0000315066-04-001959,.txt
197,66.249.66.jjh,2017-06-30,00:00:00,919012.0,0000950123-09-011442,l36677aexv31w1.htm
198,68.180.230.ede,2017-06-30,00:00:00,1109546.0,0000902664-15-004514,xslF345X03/p15-2330form4.xml
199,68.180.230.ede,2017-06-30,00:00:00,913165.0,0001181431-11-034345,xslF345X03/rrd314075.xml
200,68.180.230.ede,2017-06-30,00:00:00,1339605.0,0001564590-16-023824,-index.htm
201,69.191.249.caa,2017-06-30,00:00:00,1653653.0,0000899243-17-017577,-index.htm
202,69.191.249.eff,2017-06-30,00:00:00,1012477.0,0001140361-17-026709,-index.htm
203,69.191.249.fhc,2017-06-30,00:00:00,1708624.0,0000899243-17-017577,-index.htm
204,69.191.249.ijh,2017-06-30,00:00:00,1295432.0,0001140361-17-026709,-index.htm
205,71.204.145.cih,2017-06-30,00:00:00,816284.0,0001445305-14-000438,.txt
206,73.222.244.jad,2017-06-30,00:00:00,1053532.0,0000892626-02-000333,.txt
207,73.222.244.jad,2017-06-30,00:00:00,1053532.0,0000892626-02-000329,.txt
208,73.24.98.jii,2017-06-30,00:00:00,744452.0,0001571049-17-006376,.txt
209,73.24.98.jii,2017-06-30,00:00:00,744452.0,0001571049-17-006376,-index.htm
210,73.24.98.jii,2017-06-30,00:00:00,1357785.0,0001571049-17-006376,.txt
211,73.255.119.eca,2017-06-30,00:00:00,885590.0,0001193125-13-252392,.txt
212,75.105.72.fib,2017-06-30,00:00:00,724571.0,0001140361-17-026642,-index.htm
213,94.156.218.jad,2017-06-30,00:00:00,733269.0,0000733269-17-000047,-index.htm
214,94.156.218.jad,2017-06-30,00:00:00,1300699.0,0000905148-17-000630,-index.htm
215,94.156.218.jad,2017-06-30,00:00:00,1615930.0,0001493152-17-007356,.txt
216,95.111.49.aed,2017-06-30,00:00:00,1710656.0,0001705306-17-000002,-index.htm
217,95.111.49.aed,2017-06-30,00:00:00,1198927.0,0000937556-17-000157,.txt
218,95.111.49.aed,2017-06-30,00:00:00,1527599.0,0001493152-17-007337,-index.htm
219,101.80.234.fdi,2017-06-30,00:00:01,1070045.0,0001144204-08-027144,.txt
220,101.81.133.jja,2017-06-30,00:00:01,1608366.0,0001047469-17-004337,-index.htm
221,106.38.241.eef,2017-06-30,00:00:01,310158.0,0001193125-14-451532,.txt
222,107.23.85.jfd,2017-06-30,00:00:01,841535.0,0000841535-98-000002,-index.html
223,107.23.85.jfd,2017-06-30,00:00:01,1375566.0,0001144204-06-040408,-index.htm
224,107.23.85.jfd,2017-06-30,00:00:01,1027281.0,0000929624-99-000826,-index.html
225,107.23.85.jfd,2017-06-30,00:00:01,1136894.0,0000905148-07-000753,-index.htm
226,107.23.85.jfd,2017-06-30,00:00:01,1136894.0,0000905148-07-000936,-index.htm
227,107.23.85.jfd,2017-06-30,00:00:01,1375566.0,0001375566-06-000001,-index.htm
228,107.23.85.jfd,2017-06-30,00:00:01,1027281.0,0000889812-00-003032,-index.htm
229,107.23.85.jfd,2017-06-30,00:00:01,1136894.0,0000905148-07-003007,-index.htm
230,107.23.85.jfd,2017-06-30,00:00:01,1372211.0,0001144204-06-031873,-index.htm
231,107.23.85.jfd,2017-06-30,00:00:01,841535.0,0000841535-99-000001,-index.html
232,107.23.85.jfd,2017-06-30,00:00:01,1027281.0,0000889812-99-002858,-index.html
